sku,name,brand,category,price,stockQty,shortDesc,datasheetUrl,specs
"1SNA645051R0400","ABB R600 Series Solid State Relay, 2 A Load, DIN Rail Mount, 400 V ac Load, 24V dc Control","ABB","Relays & Timers","38.46","0","ABB R600 Series Solid State Relay, 2 A Load, DIN Rail Mount, 400 V ac Load, 24V dc Control","https://docs.rs-online.com/2d1b/A700000016030410.pdf","{""Maximum Load Current"":""2A"",""Product Type"":""Solid State Relay"",""Mount Type"":""DIN Rail"",""Maximum Load Voltage"":""400V ac"",""Minimum Load Voltage"":""1V"",""Minimum Control Voltage"":""1.2V"",""Maximum Control Voltage"":""24V dc"",""Series"":""R600"",""Terminal Type"":""Screw"",""IP Rating"":""IP20"",""Minimum Operating Temperature"":""-20°C"",""Maximum Operating Temperature"":""70°C"",""Standards/Approvals"":""CEI 60664-1, CEM:IRC 1000-4-2, CEI 1131-2, CEI 947-7-1, UL 94 V0, CEI 947-1"",""Length"":""70mm"",""Width"":""6mm"",""Height"":""6mm"",""Off State Leakage Current"":""50μA"",""Output Type"":""Triac""}"
"1SAE231111R1440","ABB ESB25 Contactor, 12V ac Coil, 4-Pole, 25 A, 17.3 kW 12V ac, 4 NO, 400V","ABB","Motor Control","86.91","0","ABB ESB25 Contactor, 12V ac Coil, 4-Pole, 25 A, 17.3 kW 12V ac, 4 NO, 400V","https://docs.rs-online.com/fd41/A700000007252243.pdf","{""Coil Voltage"":""12V ac"",""Product Type"":""Contactor"",""Number of Poles"":""4"",""Contact Voltage"":""400V"",""Contact Current"":""25A"",""Power Rating"":""17.3kW"",""Series"":""ESB25"",""Mount Type"":""DIN Rail"",""Function"":""Safety"",""Normal State Configuration"":""4 NO"",""Terminal Type"":""Screw"",""Contactor Application"":""Safety"",""Control Circuit Voltage Uc"":""12V ac"",""Operational Current Ie"":""9A"",""Minimum Operating Temperature"":""-25°C"",""Maximum Operating Temperature"":""55°C"",""Standards/Approvals"":""IEC, EN, UL"",""Width"":""36mm"",""Depth"":""65mm"",""Length"":""65mm"",""Pole and Throw Configuration"":""4"",""Country of Origin"":""DE""}"
"FENA-21","ABB FENA-01/-11/-21 Ethernet Adapter Dual Port","ABB","Drives & VFDs","661.98","0","ABB FENA-01/-11/-21 Ethernet Adapter Dual Port","https://docs.rs-online.com/af2f/0900766b8168eae2.pdf","{""Product Type"":""Inverter Accessory"",""Accessory Type"":""Ethernet Adapter Dual Port"",""For Use With"":""Converters and Inverters, ABB Drives"",""Series"":""FENA-01/-11/-21"",""Standards/Approvals"":""No"",""Country of Origin"":""CN""}"
"1SAM250000R1011","ABB 16A MS116 Motor Protection Circuit Breaker, 600V, 55 °C, -25 °C","ABB","Motor Control","100.68","0","ABB 16A MS116 Motor Protection Circuit Breaker, 600V, 55 °C, -25 °C","https://docs.rs-online.com/4764/0900766b80233ffe.pdf","{""Product Type"":""Motor Protection Circuit Breaker"",""Current Rating"":""16A"",""Motor Protection Component"":""Circuit Breaker"",""Supply Voltage"":""600V"",""Motor Protection System"":""Motor Protection Circuit Breaker"",""Series"":""MS116"",""Sensing Type"":""Current"",""Overall Length"":""90mm"",""Overall Width"":""45mm"",""Overall Depth"":""80.1mm"",""IP Rating"":""IP10, IP20"",""Minimum Operating Temperature"":""-25°C"",""Maximum Operating Temperature"":""55°C"",""Standards/Approvals"":""CCC, CE, CSA, cUL, IEC 60 947-1/IEC 60 947-2/EN60 P47-1/EN60 (47-2), UL"",""Number of Poles"":""3"",""Country of Origin"":""DE""}"
"1SBL177201R1300","ABB AF16 Contactor, 230V ac Coil, 4-Pole, 30 A, 7.5 kW 250V, 4 NO, 690V ac","ABB","Motor Control","79.4","0","ABB AF16 Contactor, 230V ac Coil, 4-Pole, 30 A, 7.5 kW 250V, 4 NO, 690V ac","https://docs.rs-online.com/df90/0900766b80e97ab4.pdf","{""Product Type"":""Contactor"",""Coil Voltage"":""230V ac"",""Number of Poles"":""4"",""Contact Voltage"":""690V ac"",""Contact Current"":""30A"",""Power Rating"":""7.5kW"",""Series"":""AF16"",""Function"":""Motor Control"",""Mount Type"":""DIN Rail"",""Normal State Configuration"":""4 NO"",""Auxiliary Contact Configuration"":""4 NO"",""Terminal Type"":""Screw"",""Minimum Operating Temperature"":""-40°C"",""Control Circuit Voltage Uc"":""250V"",""Operational Current Ie"":""30A"",""Contactor Application"":""Motor Control"",""Maximum Operating Temperature"":""70°C"",""Width"":""45mm"",""Depth"":""77mm"",""Length"":""80mm"",""Standards/Approvals"":""IEC 60947-4-1"",""Pole and Throw Configuration"":""4""}"
"1SBL121001R2610 AS16-30-10-26","ABB AS16-30-10-26 Contactor, 230V Coil, 3-Pole, 15.7 A, 7.5 kW 230V, 3 NO/1 NC","ABB","Motor Control","76.72","0","ABB AS16-30-10-26 Contactor, 230V Coil, 3-Pole, 15.7 A, 7.5 kW 230V, 3 NO/1 NC","https://docs.rs-online.com/88fd/A700000008273894.pdf","{""Product Type"":""Contactor"",""Coil Voltage"":""230V"",""Number of Poles"":""3"",""Contact Current"":""15.7A"",""Series"":""AS16-30-10-26"",""Power Rating"":""7.5kW"",""Function"":""Motor Control"",""Mount Type"":""Front"",""Normal State Configuration"":""3 NO/1 NC"",""Number of Auxiliary Contacts"":""1"",""Auxiliary Contact Configuration"":""1 NO"",""Terminal Type"":""Screw"",""Control Circuit Voltage Uc"":""230V"",""Minimum Operating Temperature"":""-25°C"",""Operational Current Ie"":""15.5A"",""Maximum Operating Temperature"":""60°C"",""Depth"":""68mm"",""Standards/Approvals"":""IEC 60947-4-1"",""Width"":""45mm"",""Length"":""72.5mm"",""Pole and Throw Configuration"":""3"",""Country of Origin"":""CN""}"
"1SVR730850R0100","ABB CM-ENS Series Liquid Level Relay -, DIN Rail 1 Voltage Input 240V ac/dc-Rated SPDT Relay","ABB","Sensors & Switches","129.18","0","ABB CM-ENS Series Liquid Level Relay -, DIN Rail 1 Voltage Input 240V ac/dc-Rated SPDT Relay","https://docs.rs-online.com/48f3/0900766b815a60b8.pdf","{""Product Type"":""Liquid Level Relay"",""Number of Inputs"":""1"",""Overall Length"":""113.4mm"",""Mount Type"":""DIN Rail"",""Overall Depth"":""113.4mm"",""Minimum Operating Temperature"":""-25°C"",""Terminal Type"":""Screw"",""Maximum Operating Temperature"":""60°C"",""Maximum Supply Voltage"":""240V ac/dc"",""IP Rating"":""IP20, IP50"",""Overall Width"":""22.5mm"",""Standards/Approvals"":""CAN/CSA C22.2 No.14, IEC/EN 60255-27, IEC/EN 60947-5-1, IEC/EN 61000-6-2, IEC/EN 61000-6-3, UL 508"",""Hazardous Area Certification"":""No"",""Sensitivity"":""100kΩ"",""Current Rating"":""11mA"",""Number of Outputs"":""1"",""Input Type"":""Voltage"",""Series"":""CM-ENS"",""Output Type"":""SPDT Relay"",""Country of Origin"":""DE""}"
"1SVR730712R1400","ABB Monitoring Relay, SPDT, DIN Rail, 24 V dc 24V ac, 240 V ac","ABB","Relays & Timers","170.75","0","ABB Monitoring Relay, SPDT, DIN Rail, 24 V dc 24V ac, 240 V ac","https://docs.rs-online.com/df79/0900766b813d646a.pdf","{""Application"":""Temperature"",""Product Type"":""Monitoring Relay"",""Sub Type"":""PTC"",""Contact Configuration"":""SPDT"",""Mount Type"":""DIN Rail"",""Terminal Type"":""Screw"",""IP Rating"":""IP50, IP20"",""Contact Current"":""3.7mA"",""Minimum Operating Temperature"":""-25°C"",""Supply DC Voltage"":""24 V dc"",""Maximum Operating Temperature"":""60°C"",""Standards/Approvals"":""No"",""Length"":""103.7mm"",""Height"":""85.6mm"",""Series"":""CM-MSS""}"
"1SAE231111R0604","ABB ESB25 Contactor, 230V, 240 V Coil, 4-Pole, 25 A, 17.3 kW 240V, 4 NC, 400V","ABB","Motor Control","82.73","0","ABB ESB25 Contactor, 230V, 240 V Coil, 4-Pole, 25 A, 17.3 kW 240V, 4 NC, 400V","https://docs.rs-online.com/520b/A700000010144778.pdf","{""Coil Voltage"":""230, 240V"",""Product Type"":""Contactor"",""Number of Poles"":""4"",""Contact Voltage"":""400V"",""Contact Current"":""25A"",""Power Rating"":""17.3kW"",""Series"":""ESB25"",""Mount Type"":""DIN Rail"",""Function"":""Safety"",""Normal State Configuration"":""4 NC"",""Terminal Type"":""Screw"",""Control Circuit Voltage Uc"":""240V"",""Operational Current Ie"":""6A"",""Minimum Operating Temperature"":""-25°C"",""Contactor Application"":""Safety"",""Maximum Operating Temperature"":""55°C"",""Depth"":""85mm"",""Width"":""36mm"",""Standards/Approvals"":""EN, IEC, UL"",""Length"":""65mm"",""Pole and Throw Configuration"":""4"",""Country of Origin"":""DE""}"
"1SVR508150R0000","ABB CT-C Series DIN Rail Timer Relay, 1-Contact, 110 to 130 V ac 110V ac, 130 V ac, 0.1 to 10 s, 1-Function, SPDT Switch","ABB","Relays & Timers","49.87","0","ABB CT-C Series DIN Rail Timer Relay, 1-Contact, 110 to 130 V ac 110V ac, 130 V ac, 0.1 to 10 s, 1-Function, SPDT Switch","https://docs.rs-online.com/4d97/A700000007234956.pdf","{""Product Type"":""Timer Relay"",""Mount Type"":""DIN Rail"",""Time Range"":""0.1 to 10 s"",""Number of Contacts"":""1"",""Number of Timer Functions"":""1"",""Contact Configuration"":""SPDT"",""IP Rating"":""IP20, IP50"",""Supply AC Voltage"":""110, 130V ac"",""Supply DC Voltage"":""110 to 130 V ac"",""Contact Current"":""4A"",""Minimum Operating Temperature"":""-20°C"",""Terminal Type"":""Screw"",""Maximum Operating Temperature"":""60°C"",""Mode"":""Cycling / Flasher"",""Height"":""78.5mm"",""Width"":""22.5mm"",""Standards/Approvals"":""RoHS"",""Length"":""78.5mm"",""Series"":""CT-C"",""Country of Origin"":""BG""}"
